Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey,MW,LogP,TPSA,RotBonds
CHEMBL2087474,CS(=O)(=O)N1CCN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1,8.3,nM,=,0.0083,PASS,ChEMBL,IC50,OHKDVDMWRKFZRB-UHFFFAOYSA-N,473.5630000000004,-0.3176999999999979,135.07999999999998,5
CHEMBL2087483,C[C@H]1CN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CCN1S(C)(=O)=O,120.0,nM,=,0.12,PASS,ChEMBL,IC50,AQWQIQDUUYUMGY-HNNXBMFYSA-N,487.5900000000004,0.07080000000000197,135.07999999999998,5
CHEMBL2087488,CN(C)CC(=O)N1CCN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1,480.0,nM,=,0.48,PASS,ChEMBL,IC50,NJFPAGGSHFZGCM-UHFFFAOYSA-N,480.5770000000004,-0.1890999999999956,121.25,6
CHEMBL2087490,CCS(=O)(=O)N1CCN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1,98.5,nM,=,0.0985,PASS,ChEMBL,IC50,YSZKJGOGZGYCHQ-UHFFFAOYSA-N,487.5900000000004,0.07240000000000313,135.07999999999998,6
CHEMBL2087492,Cc1c(CN2CCN(S(C)(=O)=O)CC2)nc2c(N3CCOCC3)nc(-c3cnc(N)nc3)cn12,15.4,nM,=,0.0154,PASS,ChEMBL,IC50,XZMAYWPLOYTTDT-UHFFFAOYSA-N,487.59000000000026,-0.00927999999999607,135.08,5
CHEMBL2088660,Cc1n[nH]c(=O)c2c1c1cc(Br)ccc1n2Cc1ccc([N+](=O)[O-])cc1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,VYXSEDGNHNNIIJ-UHFFFAOYSA-N,413.23100000000017,3.9052200000000026,93.82,3
CHEMBL2088661,Cc1n[nH]c(=O)c2c1c1cc(Br)ccc1n2Cc1cccc([N+](=O)[O-])c1,4100.0,nM,=,4.1,PASS,ChEMBL,IC50,XZNVQNCTBPDYRL-UHFFFAOYSA-N,413.23100000000017,3.9052200000000026,93.82,3
CHEMBL2088662,Cc1n[nH]c(=O)c2c1c1cc(Br)ccc1n2Cc1ccc(C#N)cc1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,VAJPJHIORYFVGN-UHFFFAOYSA-N,393.24400000000014,3.8687000000000022,74.47,2
CHEMBL2088663,Cc1n[nH]c(=O)c2c1c1cc(Br)ccc1n2Cc1cccc(C#N)c1,295.0,nM,=,0.295,PASS,ChEMBL,IC50,MYWRGXOBTFOZAT-UHFFFAOYSA-N,393.24400000000014,3.8687000000000022,74.47,2
CHEMBL2088664,COc1ccc(Cn2c3ccc(Br)cc3c3c(C)n[nH]c(=O)c32)cc1,5200.0,nM,=,5.2,PASS,ChEMBL,IC50,RLMVBDOMJXQMEV-UHFFFAOYSA-N,398.26000000000016,4.005620000000002,59.910000000000004,3
