Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey
CHEMBL405230,COC[C@H]1OC(=O)/C(=C/N2CCC(N3CCCCC3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,63.0,nM,=,0.063,PASS,ChEMBL,IC50,JRRKCUNZWKCCSY-CIXOFKJKSA-N
CHEMBL410071,COC[C@H]1OC(=O)/C(=C/N2CCC(C(=O)O)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,33.0,nM,=,0.033,PASS,ChEMBL,IC50,BNROIFPOKDJKLV-ZVQABYPNSA-N
CHEMBL273038,COC[C@H]1OC(=O)/C(=C/N2CCC(C(=O)OC)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,31.0,nM,=,0.031,PASS,ChEMBL,IC50,XIGQBQXVQLXYJV-GNDMENEFSA-N
CHEMBL270553,COC[C@H]1OC(=O)/C(=C/N2CCC(c3ccccc3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,172.0,nM,=,0.172,PASS,ChEMBL,IC50,YDRIXUQDSDBENX-ZTMZYYICSA-N
CHEMBL408074,COC[C@H]1OC(=O)/C(=C/N2CCN(CCCN3CCOCC3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,45.0,nM,=,0.045,PASS,ChEMBL,IC50,WKEORQQCWXWQHJ-QUHBZQSDSA-N
CHEMBL271982,COC[C@H]1OC(=O)/C(=C/N2CCN(CCN3CCOCC3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,78.0,nM,=,0.078,PASS,ChEMBL,IC50,QSSOSMOFQOLOBE-FIVGWOKHSA-N
CHEMBL271780,COC[C@H]1OC(=O)/C(=C/N2CCN(CCCN(C)C)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,38.0,nM,=,0.038,PASS,ChEMBL,IC50,HYDDOBNJXTXQSA-XCGCEKMHSA-N
CHEMBL410637,COC[C@H]1OC(=O)/C(=C/N2CCN(C)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,90.0,nM,=,0.09,PASS,ChEMBL,IC50,BEDCMIUNIYHBDZ-HBMVUJRWSA-N
CHEMBL271184,COC[C@H]1OC(=O)/C(=C/N2CCN(c3ccccc3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,56.0,nM,=,0.056,PASS,ChEMBL,IC50,QHMJDWUZSSGOOV-CIXOFKJKSA-N
CHEMBL406237,COC[C@H]1OC(=O)/C(=C/N2CCN(Cc3ccccc3)CC2)C2C(=O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,87.0,nM,=,0.087,PASS,ChEMBL,IC50,QIPFLHLDRUCPPI-DYTFNEFXSA-N
